Date,Canada,,,Chile,,,Mexico,,,Taiwan China,,,Hong Kong China,,,Japan,,,South Korea,,,Macao China,,,Maldives,,,Cambodia,,,Indonesia,,,Singapore,,,New Zealand,,,USA,,,Thailand,,,Turkey,,,Australia,,,Hawaii,,,Austria,,,Czech,,,,,,,,,,,,,,,,,,,,,,,,
1989M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660,,,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3090,,,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2570,,,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,,,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,,,1383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,,,1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989M07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220,,,1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,,,1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
